net,prop,infra,jobs,runtime,initial_divides,divides,timeout,initial_timeout,timeout_factor,hash,trial,divide_strategy,region,start_time,result
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,4,393.3567292690277,2,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579837230.1457682,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,4,402.439249753952,2,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579837624.0078466,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,4,393.94422602653503,2,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579858104.950124,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,4,402.3169937133789,2,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579858499.407338,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,4,552.3776397705078,2,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579867823.5433707,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,4,391.76897644996643,2,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579884981.5704916,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,4,396.4724977016449,2,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579885373.8414426,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,4,550.3414852619171,2,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579900689.3573864,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,8,374.08739948272705,3,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579836473.7618217,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,8,381.71013593673706,3,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579836848.366925,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,8,379.1804337501526,3,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579857349.3890173,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,8,375.8017454147339,3,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579857729.077981,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,8,402.82856917381287,3,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579862683.5530019,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,8,377.8540678024292,3,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579884221.3944552,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,8,381.7827081680298,3,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579884599.7170856,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,8,408.94366002082825,3,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579895417.0912766,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,16,361.5763087272644,4,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579828009.821287,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,16,139.81378865242004,4,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579828371.91239,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,16,360.5523111820221,4,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579856849.3588042,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,16,138.88776898384094,4,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579857210.4304016,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,16,345.777464389801,4,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579859065.71939,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.THREAD,16,358.74262738227844,4,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579883721.6939025,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LOCAL,16,140.36914110183716,4,2,3600,80,1.5,0e3c0a7e,2,split-relu,us-west-2,1579884080.9554517,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,16,189.7729160785675,4,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579892023.7903326,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,32,336.8721487522125,5,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579855507.8036628,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,32,339.3496346473694,5,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579888467.487618,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,64,572.8554422855377,6,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579852288.5175405,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,64,572.3730752468109,6,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579884563.7420735,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,128,220.18399333953857,7,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579848805.664386,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,128,341.47230768203735,7,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579880948.1721034,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,256,377.14114904403687,8,2,3600,80,1.5,0e3c0a7e,0,split-relu,us-west-2,1579845518.0910087,Result.UNSAT
mnist20x20.nnet,net20x20_ind10275_tar8_eps0.008.txt,Infra.GG_LAMBDA,256,380.9617841243744,8,2,3600,80,1.5,0e3c0a7e,1,split-relu,us-west-2,1579877648.6997404,Result.UNSAT
